Country,Continent,Landlocked,Neighbours,Equator,Southern,1.1 Name starts with a vowel (A/E/I/O/U),1.2 Name contains the letter O,1.3 Name ends in the letter A,1.4 Name starts with a letter A-G,1.5 Name contains the letter R,1.6 Name starts with a letter M-Z,2.1 Name has 6 or 7 letters,2.2 Name has 9 letters or more,2.3 Name has 8 or 9 letters,2.4 Name has 7 or 8 letters,2.5 Name has 7 to 9 letters,2.6 Name has 7 letters or fewer,3.1 In the Americas,3.2 Landlocked (no sea coastline),3.3 Island nation (no land borders),3.4 Borders one or two countries,3.5 Lies entirely south of the equator,3.6 In Asia
Algeria,AF,False,7,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,
Angola,AF,False,4,False,True,Y,Y,Y,Y,,,Y,,,,,Y,,,,,Y,
Benin,AF,False,4,False,False,,,,Y,,,,,,,,Y,,,,,,
Botswana,AF,True,4,False,True,,Y,Y,Y,,,,,Y,Y,Y,,,Y,,,Y,
Burkina Faso,AF,True,6,False,False,,Y,,Y,Y,,,Y,,,,,,Y,,,,
Burundi,AF,True,3,False,True,,,,Y,Y,,Y,,,Y,Y,Y,,Y,,,Y,
Cabo Verde,AF,False,0,False,False,,Y,,Y,Y,,,Y,Y,,Y,,,,Y,,,
Cameroon,AF,False,6,False,False,,Y,,Y,Y,,,,Y,Y,Y,,,,,,,
Central African Republic,AF,True,6,False,False,,,,Y,Y,,,Y,,,,,,Y,,,,
Chad,AF,True,6,False,False,,,,Y,,,,,,,,Y,,Y,,,,
Comoros,AF,False,0,False,True,,Y,,Y,Y,,Y,,,Y,Y,Y,,,Y,,Y,
Congo,AF,False,5,True,False,,Y,,Y,,,,,,,,Y,,,,,,
Cote d'Ivoire,AF,False,5,False,False,,Y,,Y,Y,,,Y,,,,,,,,,,
Democratic Republic of the Congo,AF,False,9,True,False,,Y,,Y,Y,,,Y,,,,,,,,,,
Djibouti,AF,False,3,False,False,,Y,,Y,,,,,Y,Y,Y,,,,,,,
Egypt,AF,False,3,False,False,Y,,,Y,,,,,,,,Y,,,,,,
Equatorial Guinea,AF,False,2,False,False,Y,Y,Y,Y,Y,,,Y,,,,,,,,Y,,
Eritrea,AF,False,3,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,
Eswatini,AF,True,2,False,True,Y,,,Y,,,,,Y,Y,Y,,,Y,,Y,Y,
Ethiopia,AF,True,6,False,False,Y,Y,Y,Y,,,,,Y,Y,Y,,,Y,,,,
Gabon,AF,False,3,True,False,,Y,,Y,,,,,,,,Y,,,,,,
Gambia,AF,False,1,False,False,,,Y,Y,,,Y,,,,,Y,,,,Y,,
Ghana,AF,False,3,False,False,,,Y,Y,,,,,,,,Y,,,,,,
Guinea,AF,False,6,False,False,,,Y,Y,,,Y,,,,,Y,,,,,,
Guinea-Bissau,AF,False,2,False,False,,,,Y,,,,Y,,,,,,,,Y,,
Kenya,AF,False,5,True,False,,,Y,,,,,,,,,Y,,,,,,
Lesotho,AF,True,1,False,True,,Y,,,,,Y,,,Y,Y,Y,,Y,,Y,Y,
Liberia,AF,False,3,False,False,,,Y,,Y,,Y,,,Y,Y,Y,,,,,,
Libya,AF,False,6,False,False,,,Y,,,,,,,,,Y,,,,,,
Madagascar,AF,False,0,False,True,,,,,Y,Y,,Y,,,,,,,Y,,Y,
Malawi,AF,True,3,False,True,,,,,,Y,Y,,,,,Y,,Y,,,Y,
Mali,AF,True,7,False,False,,,,,,Y,,,,,,Y,,Y,,,,
Mauritania,AF,False,4,False,False,,,Y,,Y,Y,,Y,,,,,,,,,,
Mauritius,AF,False,0,False,True,,,,,Y,Y,,Y,Y,,Y,,,,Y,,Y,
Morocco,AF,False,2,False,False,,Y,,,Y,Y,Y,,,Y,Y,Y,,,,Y,,
Mozambique,AF,False,6,False,True,,Y,,,,Y,,Y,,,,,,,,,Y,
Namibia,AF,False,4,False,True,,,Y,,,Y,Y,,,Y,Y,Y,,,,,Y,
Niger,AF,True,7,False,False,,,,,Y,Y,,,,,,Y,,Y,,,,
Nigeria,AF,False,4,False,False,,,Y,,Y,Y,Y,,,Y,Y,Y,,,,,,
Rwanda,AF,True,4,False,True,,,Y,,Y,Y,Y,,,,,Y,,Y,,,Y,
Sao Tome and Principe,AF,False,0,True,False,,Y,,,Y,Y,,Y,,,,,,,Y,,,
Senegal,AF,False,5,False,False,,,,,,Y,Y,,,Y,Y,Y,,,,,,
Seychelles,AF,False,0,False,True,,,,,,Y,,Y,,,,,,,Y,,Y,
Sierra Leone,AF,False,2,False,False,,Y,,,Y,Y,,Y,,,,,,,,Y,,
Somalia,AF,False,3,True,False,,Y,Y,,,Y,Y,,,Y,Y,Y,,,,,,
South Africa,AF,False,6,False,True,,Y,Y,,Y,Y,,Y,,,,,,,,,Y,
South Sudan,AF,True,6,False,False,,Y,,,,Y,,Y,,,,,,Y,,,,
Sudan,AF,False,7,False,False,,,,,,Y,,,,,,Y,,,,,,
Tanzania,AF,False,8,False,True,,,Y,,,Y,,,Y,Y,Y,,,,,,Y,
Togo,AF,False,3,False,False,,Y,,,,Y,,,,,,Y,,,,,,
Tunisia,AF,False,2,False,False,,,Y,,,Y,Y,,,Y,Y,Y,,,,Y,,
Uganda,AF,True,5,True,False,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,
Zambia,AF,True,8,False,True,,,Y,,,Y,Y,,,,,Y,,Y,,,Y,
Zimbabwe,AF,True,4,False,True,,,,,,Y,,,Y,Y,Y,,,Y,,,Y,
Afghanistan,AS,True,6,False,False,Y,,,Y,,,,Y,,,,,,Y,,,,Y
Armenia,AS,True,4,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,Y,,,,Y
Azerbaijan,AS,True,5,False,False,Y,,,Y,Y,,,Y,,,,,,Y,,,,Y
Bahrain,AS,False,0,False,False,,,,Y,Y,,Y,,,Y,Y,Y,,,Y,,,Y
Bangladesh,AS,False,2,False,False,,,,Y,,,,Y,,,,,,,,Y,,Y
Bhutan,AS,True,2,False,False,,,,Y,,,Y,,,,,Y,,Y,,Y,,Y
Brunei,AS,False,1,False,False,,,,Y,Y,,Y,,,,,Y,,,,Y,,Y
Cambodia,AS,False,3,False,False,,Y,Y,Y,,,,,Y,Y,Y,,,,,,,Y
China,AS,False,14,False,False,,,Y,Y,,,,,,,,Y,,,,,,Y
Cyprus,AS,False,0,False,False,,,,Y,Y,,Y,,,,,Y,,,Y,,,Y
Georgia,AS,False,4,False,False,,Y,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,Y
India,AS,False,6,False,False,Y,,Y,,,,,,,,,Y,,,,,,Y
Indonesia,AS,False,3,True,False,Y,Y,Y,,,,,Y,Y,,Y,,,,,,,Y
Iran,AS,False,7,False,False,Y,,,,Y,,,,,,,Y,,,,,,Y
Iraq,AS,False,6,False,False,Y,,,,Y,,,,,,,Y,,,,,,Y
Israel,AS,False,4,False,False,Y,,,,Y,,Y,,,,,Y,,,,,,Y
Japan,AS,False,0,False,False,,,,,,,,,,,,Y,,,Y,,,Y
Jordan,AS,False,4,False,False,,Y,,,Y,,Y,,,,,Y,,,,,,Y
Kazakhstan,AS,True,5,False,False,,,,,,,,Y,,,,,,Y,,,,Y
Kuwait,AS,False,2,False,False,,,,,,,Y,,,,,Y,,,,Y,,Y
Kyrgyzstan,AS,True,4,False,False,,,,,Y,,,Y,,,,,,Y,,,,Y
Laos,AS,True,5,False,False,,Y,,,,,,,,,,Y,,Y,,,,Y
Lebanon,AS,False,2,False,False,,Y,,,,,Y,,,Y,Y,Y,,,,Y,,Y
Malaysia,AS,False,3,False,False,,,Y,,,Y,,,Y,Y,Y,,,,,,,Y
Maldives,AS,False,0,True,False,,,,,,Y,,,Y,Y,Y,,,,Y,,,Y
Mongolia,AS,True,2,False,False,,Y,Y,,,Y,,,Y,Y,Y,,,Y,,Y,,Y
Myanmar,AS,False,5,False,False,,,,,Y,Y,Y,,,Y,Y,Y,,,,,,Y
Nepal,AS,True,2,False,False,,,,,,Y,,,,,,Y,,Y,,Y,,Y
North Korea,AS,False,3,False,False,,Y,Y,,Y,Y,,Y,,,,,,,,,,Y
Oman,AS,False,3,False,False,Y,Y,,,,Y,,,,,,Y,,,,,,Y
Pakistan,AS,False,4,False,False,,,,,,Y,,,Y,Y,Y,,,,,,,Y
Philippines,AS,False,0,False,False,,,,,,Y,,Y,,,,,,,Y,,,Y
Qatar,AS,False,1,False,False,,,,,Y,Y,,,,,,Y,,,,Y,,Y
Saudi Arabia,AS,False,7,False,False,,,Y,,Y,Y,,Y,,,,,,,,,,Y
Singapore,AS,False,0,False,False,,Y,,,Y,Y,,Y,Y,,Y,,,,Y,,,Y
South Korea,AS,False,1,False,False,,Y,Y,,Y,Y,,Y,,,,,,,,Y,,Y
Sri Lanka,AS,False,0,False,False,,,Y,,Y,Y,,,Y,Y,Y,,,,Y,,,Y
Syria,AS,False,5,False,False,,,Y,,Y,Y,,,,,,Y,,,,,,Y
Tajikistan,AS,True,4,False,False,,,,,,Y,,Y,,,,,,Y,,,,Y
Thailand,AS,False,4,False,False,,,,,,Y,,,Y,Y,Y,,,,,,,Y
Timor-Leste,AS,False,1,False,True,,Y,,,Y,Y,,Y,,,,,,,,Y,Y,Y
Turkey,AS,False,8,False,False,,,,,Y,Y,Y,,,,,Y,,,,,,Y
Turkmenistan,AS,True,4,False,False,,,,,Y,Y,,Y,,,,,,Y,,,,Y
United Arab Emirates,AS,False,2,False,False,Y,,,,Y,Y,,Y,,,,,,,,Y,,Y
Uzbekistan,AS,True,5,False,False,Y,,,,,Y,,Y,,,,,,Y,,,,Y
Vietnam,AS,False,3,False,False,,,,,,Y,Y,,,Y,Y,Y,,,,,,Y
Yemen,AS,False,2,False,False,,,,,,Y,,,,,,Y,,,,Y,,Y
Albania,EU,False,4,False,False,Y,,Y,Y,,,Y,,,Y,Y,Y,,,,,,
Andorra,EU,True,2,False,False,Y,Y,Y,Y,Y,,Y,,,Y,Y,Y,,Y,,Y,,
Austria,EU,True,8,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,Y,,,,
Belarus,EU,True,5,False,False,,,,Y,Y,,Y,,,Y,Y,Y,,Y,,,,
Belgium,EU,False,4,False,False,,,,Y,,,Y,,,Y,Y,Y,,,,,,
Bosnia and Herzegovina,EU,False,3,False,False,,Y,Y,Y,Y,,,Y,,,,,,,,,,
Bulgaria,EU,False,5,False,False,,,Y,Y,Y,,,,Y,Y,Y,,,,,,,
Croatia,EU,False,5,False,False,,Y,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,
Czechia,EU,True,4,False,False,,,Y,Y,,,Y,,,Y,Y,Y,,Y,,,,
Denmark,EU,False,1,False,False,,,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,
Estonia,EU,False,2,False,False,Y,Y,Y,Y,,,Y,,,Y,Y,Y,,,,Y,,
Finland,EU,False,3,False,False,,,,Y,,,Y,,,Y,Y,Y,,,,,,
France,EU,False,8,False,False,,,,Y,Y,,Y,,,,,Y,,,,,,
Germany,EU,False,9,False,False,,,,Y,Y,,Y,,,Y,Y,Y,,,,,,
Greece,EU,False,4,False,False,,,,Y,Y,,Y,,,,,Y,,,,,,
Hungary,EU,True,7,False,False,,,,,Y,,Y,,,Y,Y,Y,,Y,,,,
Iceland,EU,False,0,False,False,Y,,,,,,Y,,,Y,Y,Y,,,Y,,,
Ireland,EU,False,1,False,False,Y,,,,Y,,Y,,,Y,Y,Y,,,,Y,,
Italy,EU,False,6,False,False,Y,,,,,,,,,,,Y,,,,,,
Latvia,EU,False,4,False,False,,,Y,,,,Y,,,,,Y,,,,,,
Liechtenstein,EU,True,2,False,False,,,,,,,,Y,,,,,,Y,,Y,,
Lithuania,EU,False,4,False,False,,,Y,,,,,Y,Y,,Y,,,,,,,
Luxembourg,EU,True,3,False,False,,Y,,,Y,,,Y,,,,,,Y,,,,
Malta,EU,False,0,False,False,,,Y,,,Y,,,,,,Y,,,Y,,,
Moldova,EU,True,2,False,False,,Y,Y,,,Y,Y,,,Y,Y,Y,,Y,,Y,,
Monaco,EU,False,1,False,False,,Y,,,,Y,Y,,,,,Y,,,,Y,,
Montenegro,EU,False,5,False,False,,Y,,,Y,Y,,Y,,,,,,,,,,
Netherlands,EU,False,2,False,False,,,,,Y,Y,,Y,,,,,,,,Y,,
North Macedonia,EU,True,5,False,False,,Y,Y,,Y,Y,,Y,,,,,,Y,,,,
Norway,EU,False,3,False,False,,Y,,,Y,Y,Y,,,,,Y,,,,,,
Poland,EU,False,7,False,False,,Y,,,,Y,Y,,,,,Y,,,,,,
Portugal,EU,False,1,False,False,,Y,,,Y,Y,,,Y,Y,Y,,,,,Y,,
Romania,EU,False,5,False,False,,Y,Y,,Y,Y,Y,,,Y,Y,Y,,,,,,
Russia,EU,False,14,False,False,,,Y,,Y,Y,Y,,,,,Y,,,,,,
San Marino,EU,True,1,False,False,,Y,,,Y,Y,,Y,Y,,Y,,,Y,,Y,,
Serbia,EU,True,8,False,False,,,Y,,Y,Y,Y,,,,,Y,,Y,,,,
Slovakia,EU,True,5,False,False,,Y,Y,,,Y,,,Y,Y,Y,,,Y,,,,
Slovenia,EU,False,4,False,False,,Y,Y,,,Y,,,Y,Y,Y,,,,,,,
Spain,EU,False,5,False,False,,,,,,Y,,,,,,Y,,,,,,
Sweden,EU,False,2,False,False,,,,,,Y,Y,,,,,Y,,,,Y,,
Switzerland,EU,True,5,False,False,,,,,Y,Y,,Y,,,,,,Y,,,,
Ukraine,EU,False,7,False,False,Y,,,,Y,Y,Y,,,Y,Y,Y,,,,,,
United Kingdom,EU,False,1,False,False,Y,Y,,,,Y,,Y,,,,,,,,Y,,
Antigua and Barbuda,AM,False,0,False,False,Y,,Y,Y,Y,,,Y,,,,,Y,,Y,,,
Argentina,AM,False,5,False,True,Y,,Y,Y,Y,,,Y,Y,,Y,,Y,,,,Y,
Bahamas,AM,False,0,False,False,,,,Y,,,Y,,,Y,Y,Y,Y,,Y,,,
Barbados,AM,False,0,False,False,,Y,,Y,Y,,,,Y,Y,Y,,Y,,Y,,,
Belize,AM,False,2,False,False,,,,Y,,,Y,,,,,Y,Y,,,Y,,
Bolivia,AM,True,5,False,True,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,,,Y,
Brazil,AM,False,10,True,False,,,,Y,Y,,Y,,,,,Y,Y,,,,,
Canada,AM,False,1,False,False,,,Y,Y,,,Y,,,,,Y,Y,,,Y,,
Chile,AM,False,3,False,True,,,,Y,,,,,,,,Y,Y,,,,Y,
Colombia,AM,False,5,True,False,,Y,Y,Y,,,,,Y,Y,Y,,Y,,,,,
Costa Rica,AM,False,2,False,False,,Y,Y,Y,Y,,,Y,Y,,Y,,Y,,,Y,,
Cuba,AM,False,0,False,False,,,Y,Y,,,,,,,,Y,Y,,Y,,,
Dominica,AM,False,0,False,False,,Y,Y,Y,,,,,Y,Y,Y,,Y,,Y,,,
Dominican Republic,AM,False,1,False,False,,Y,,Y,Y,,,Y,,,,,Y,,,Y,,
Ecuador,AM,False,2,True,False,Y,Y,,Y,Y,,Y,,,Y,Y,Y,Y,,,Y,,
El Salvador,AM,False,2,False,False,Y,Y,,Y,Y,,,Y,,,,,Y,,,Y,,
Grenada,AM,False,0,False,False,,,Y,Y,Y,,Y,,,Y,Y,Y,Y,,Y,,,
Guatemala,AM,False,4,False,False,,,Y,Y,,,,Y,Y,,Y,,Y,,,,,
Guyana,AM,False,3,False,False,,,Y,Y,,,Y,,,,,Y,Y,,,,,
Haiti,AM,False,1,False,False,,,,,,,,,,,,Y,Y,,,Y,,
Honduras,AM,False,3,False,False,,Y,,,Y,,,,Y,Y,Y,,Y,,,,,
Jamaica,AM,False,0,False,False,,,Y,,,,Y,,,Y,Y,Y,Y,,Y,,,
Mexico,AM,False,3,False,False,,Y,,,,Y,Y,,,,,Y,Y,,,,,
Nicaragua,AM,False,2,False,False,,,Y,,Y,Y,,Y,Y,,Y,,Y,,,Y,,
Panama,AM,False,2,False,False,,,Y,,,Y,Y,,,,,Y,Y,,,Y,,
Paraguay,AM,True,3,False,True,,,,,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,
Peru,AM,False,5,False,True,,,,,Y,Y,,,,,,Y,Y,,,,Y,
Saint Kitts and Nevis,AM,False,0,False,False,,,,,,Y,,Y,,,,,Y,,Y,,,
Saint Lucia,AM,False,0,False,False,,,Y,,,Y,,Y,,,,,Y,,Y,,,
Saint Vincent and the Grenadines,AM,False,0,False,False,,,,,Y,Y,,Y,,,,,Y,,Y,,,
Suriname,AM,False,3,False,False,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,
Trinidad and Tobago,AM,False,0,False,False,,Y,,,Y,Y,,Y,,,,,Y,,Y,,,
United States,AM,False,2,False,False,Y,,,,,Y,,Y,,,,,Y,,,Y,,
Uruguay,AM,False,2,False,True,Y,,,,Y,Y,Y,,,Y,Y,Y,Y,,,Y,Y,
Venezuela,AM,False,3,False,False,,,Y,,,Y,,Y,Y,,Y,,Y,,,,,
Australia,OC,False,0,False,True,Y,,Y,Y,Y,,,Y,Y,,Y,,,,Y,,Y,
Fiji,OC,False,0,False,True,,,,Y,,,,,,,,Y,,,Y,,Y,
Kiribati,OC,False,0,True,False,,,,,Y,,,,Y,Y,Y,,,,Y,,,
Marshall Islands,OC,False,0,False,False,,,,,Y,Y,,Y,,,,,,,Y,,,
Micronesia,OC,False,0,False,False,,Y,Y,,Y,Y,,Y,,,,,,,Y,,,
Nauru,OC,False,0,False,True,,,,,Y,Y,,,,,,Y,,,Y,,Y,
New Zealand,OC,False,0,False,True,,,,,,Y,,Y,,,,,,,Y,,Y,
Palau,OC,False,0,False,False,,,,,,Y,,,,,,Y,,,Y,,,
Papua New Guinea,OC,False,1,False,True,,,Y,,,Y,,Y,,,,,,,,Y,Y,
Samoa,OC,False,0,False,True,,Y,Y,,,Y,,,,,,Y,,,Y,,Y,
Solomon Islands,OC,False,0,False,True,,Y,,,,Y,,Y,,,,,,,Y,,Y,
Tonga,OC,False,0,False,True,,Y,Y,,,Y,,,,,,Y,,,Y,,Y,
Tuvalu,OC,False,0,False,True,,,,,,Y,Y,,,,,Y,,,Y,,Y,
Vanuatu,OC,False,0,False,True,,,,,,Y,Y,,,Y,Y,Y,,,Y,,Y,
